channel_type,mcs,noise_power_dB,trial,dl_first_tx,dl_errors,dl_bler,dl_harq,ul_first_tx,ul_errors,ul_bler
BICTR_LUNAR,9,-8,1,239,0,0.000000,239/1/0/0,90,11,0.122222
BICTR_LUNAR,9,-8,2,126,4,0.031746,126/52/21/9,78,0,0.000000
BICTR_LUNAR,9,-14,1,67,36,0.537313,67/57/48/44,135,24,0.177778
BICTR_LUNAR,9,-14,2,51,51,1.000000,51/50/50/51,51,51,1.000000
BICTR_LUNAR,9,-20,1,221,0,0.000000,221/0/0/0,139,27,0.194245
BICTR_LUNAR,9,-20,2,201,0,0.000000,201/0/0/0,126,22,0.174603
BICTR_LUNAR,9,-26,1,51,51,1.000000,51/51/51/51,51,51,1.000000
BICTR_LUNAR,9,-26,2,220,0,0.000000,220/0/0/0,139,10,0.071942
BICTR_LUNAR,19,-8,1,52,52,1.000000,52/51/51/51,51,51,1.000000
BICTR_LUNAR,19,-8,2,53,53,1.000000,53/53/53/53,53,53,1.000000
BICTR_LUNAR,19,-14,1,229,0,0.000000,229/0/0/0,143,23,0.160839
BICTR_LUNAR,19,-14,2,224,0,0.000000,224/0/0/0,140,22,0.157143
BICTR_LUNAR,19,-20,1,225,0,0.000000,225/0/0/0,141,27,0.191489
BICTR_LUNAR,19,-20,2,229,0,0.000000,229/0/0/0,144,29,0.201389
BICTR_LUNAR,19,-26,1,53,53,1.000000,53/52/52/52,53,53,1.000000
BICTR_LUNAR,19,-26,2,223,0,0.000000,223/0/0/0,139,3,0.021583
BICTR_LUNAR,27,-8,1,53,53,1.000000,53/53/53/53,53,53,1.000000
BICTR_LUNAR,27,-8,2,56,56,1.000000,56/57/56/56,84,16,0.190476
BICTR_LUNAR,27,-14,1,52,53,1.019231,52/52/53/53,52,53,1.019231
BICTR_LUNAR,27,-14,2,232,0,0.000000,232/3/0/0,148,30,0.202703
BICTR_LUNAR,27,-20,1,228,0,0.000000,228/0/0/0,141,0,0.000000
BICTR_LUNAR,27,-20,2,213,0,0.000000,213/0/0/0,135,26,0.192593
BICTR_LUNAR,27,-26,1,226,0,0.000000,226/0/0/0,142,1,0.007042
BICTR_LUNAR,27,-26,2,195,0,0.000000,195/0/0/0,122,1,0.008197
AWGN,9,-8,1,1124,0,0.000000,1124/0/0/0,736,27,0.036685
AWGN,9,-8,2,1216,0,0.000000,1216/2/0/0,792,38,0.047980
AWGN,9,-14,1,1243,0,0.000000,1243/0/0/0,856,46,0.053738
AWGN,9,-14,2,1219,0,0.000000,1219/0/0/0,849,38,0.044759
AWGN,9,-20,1,1209,0,0.000000,1209/0/0/0,852,41,0.048122
AWGN,9,-20,2,1213,0,0.000000,1213/0/0/0,854,37,0.043326
AWGN,9,-26,1,1182,0,0.000000,1182/0/0/0,840,28,0.033333
AWGN,9,-26,2,1173,0,0.000000,1173/0/0/0,824,33,0.040049
AWGN,19,-8,1,1253,0,0.000000,1253/2/0/0,822,39,0.047445
AWGN,19,-8,2,1219,0,0.000000,1219/1/0/0,794,38,0.047859
AWGN,19,-14,1,1236,0,0.000000,1236/0/0/0,867,31,0.035755
AWGN,19,-14,2,1205,0,0.000000,1205/0/0/0,834,36,0.043165
AWGN,19,-20,1,1206,0,0.000000,1206/0/0/0,857,33,0.038506
AWGN,19,-20,2,1219,0,0.000000,1219/0/0/0,853,46,0.053927
AWGN,19,-26,1,262,231,0.881679,262/231/231/231,253,231,0.913043
AWGN,19,-26,2,1206,0,0.000000,1206/0/0/0,848,39,0.045991
AWGN,27,-8,1,1208,0,0.000000,1208/2/0/0,793,26,0.032787
AWGN,27,-8,2,1249,0,0.000000,1249/0/0/0,829,32,0.038601
AWGN,27,-14,1,1239,0,0.000000,1239/0/0/0,875,26,0.029714
AWGN,27,-14,2,1235,0,0.000000,1235/0/0/0,860,39,0.045349
AWGN,27,-20,1,1218,0,0.000000,1218/0/0/0,855,39,0.045614
