sample_id,elapsed_s,raw_stats
0,0,UE RNTI 1234 (1) PH 0 dB PCMAX 0 dBm, average RSRP -44 (11 meas)|UE 1234: UL-RI 1, TPMI 0|UE 1234: dlsch_rounds 157/152/146/141, dlsch_errors 139, pucch0_DTX 578, BLER 0.00000 MCS 9|UE 1234: dlsch_total_bytes 186045|UE 1234: ulsch_rounds 149/149/149/149, ulsch_DTX 595, ulsch_errors 148, BLER 0.00000 MCS 9|UE 1234: ulsch_total_bytes_scheduled 171797, ulsch_total_bytes_received 0|UE 1234: LCID 4: 104 bytes TX||
1,1,UE RNTI 1234 (1) PH 0 dB PCMAX 0 dBm, average RSRP -44 (2 meas)|UE 1234: UL-RI 1, TPMI 0|UE 1234: dlsch_rounds 173/167/159/153, dlsch_errors 151, pucch0_DTX 630, BLER 0.00000 MCS 9|UE 1234: dlsch_total_bytes 205005|UE 1234: ulsch_rounds 163/163/163/163, ulsch_DTX 651, ulsch_errors 162, BLER 0.00000 MCS 9|UE 1234: ulsch_total_bytes_scheduled 187939, ulsch_total_bytes_received 0|UE 1234: LCID 4: 156 bytes TX|||
2,2,UE RNTI 1234 (1) PH 0 dB PCMAX 0 dBm, average RSRP -44 (10 meas)|UE 1234: UL-RI 1, TPMI 0|UE 1234: dlsch_rounds 189/181/174/168, dlsch_errors 165, pucch0_DTX 689, BLER 0.00000 MCS 9|UE 1234: dlsch_total_bytes 223965|UE 1234: ulsch_rounds 178/178/178/178, ulsch_DTX 712, ulsch_errors 178, BLER 0.00000 MCS 9|UE 1234: ulsch_total_bytes_scheduled 205234, ulsch_total_bytes_received 0|UE 1234: LCID 4: 156 bytes TX||
3,3,UE RNTI 1234 (1) PH 0 dB PCMAX 0 dBm, average RSRP -44 (1 meas)|UE 1234: UL-RI 1, TPMI 0|UE 1234: dlsch_rounds 204/197/188/181, dlsch_errors 178, pucch0_DTX 745, BLER 0.00000 MCS 9|UE 1234: dlsch_total_bytes 241740|UE 1234: ulsch_rounds 193/193/192/192, ulsch_DTX 770, ulsch_errors 192, BLER 0.00000 MCS 9|UE 1234: ulsch_total_bytes_scheduled 222529, ulsch_total_bytes_received 0|UE 1234: LCID 4: 156 bytes TX|||
4,4,UE RNTI 1234 (1) PH 0 dB PCMAX 0 dBm, average RSRP -44 (8 meas)|UE 1234: UL-RI 1, TPMI 0|UE 1234: dlsch_rounds 220/213/202/195, dlsch_errors 191, pucch0_DTX 802, BLER 0.00000 MCS 9|UE 1234: dlsch_total_bytes 260700|UE 1234: ulsch_rounds 208/208/207/207, ulsch_DTX 830, ulsch_errors 207, BLER 0.00000 MCS 9|UE 1234: ulsch_total_bytes_scheduled 239824, ulsch_total_bytes_received 0|UE 1234: LCID 4: 156 bytes TX|||
5,5,UE RNTI 1234 (1) PH 0 dB PCMAX 0 dBm, average RSRP -44 (16 meas)|UE 1234: UL-RI 1, TPMI 0|UE 1234: dlsch_rounds 236/229/218/208, dlsch_errors 204, pucch0_DTX 859, BLER 0.00000 MCS 9|UE 1234: dlsch_total_bytes 279660|UE 1234: ulsch_rounds 223/223/223/222, ulsch_DTX 890, ulsch_errors 222, BLER 0.00000 MCS 9|UE 1234: ulsch_total_bytes_scheduled 257119, ulsch_total_bytes_received 0|UE 1234: LCID 4: 156 bytes TX||
6,6,UE RNTI 1234 (1) PH 0 dB PCMAX 0 dBm, average RSRP -44 (7 meas)|UE 1234: UL-RI 1, TPMI 0|UE 1234: dlsch_rounds 252/244/233/222, dlsch_errors 218, pucch0_DTX 917, BLER 0.00000 MCS 9|UE 1234: dlsch_total_bytes 298620|UE 1234: ulsch_rounds 238/238/238/237, ulsch_DTX 951, ulsch_errors 237, BLER 0.00000 MCS 9|UE 1234: ulsch_total_bytes_scheduled 274414, ulsch_total_bytes_received 0|UE 1234: LCID 4: 156 bytes TX|||
7,7,UE RNTI 1234 (1) PH 0 dB PCMAX 0 dBm, average RSRP -44 (14 meas)|UE 1234: UL-RI 1, TPMI 0|UE 1234: dlsch_rounds 268/259/247/234, dlsch_errors 229, pucch0_DTX 970, BLER 0.00000 MCS 9|UE 1234: dlsch_total_bytes 317580|UE 1234: ulsch_rounds 252/252/252/252, ulsch_DTX 1007, ulsch_errors 251, BLER 0.00000 MCS 9|UE 1234: ulsch_total_bytes_scheduled 290556, ulsch_total_bytes_received 0|UE 1234: LCID 4: 156 bytes TX||
8,8,UE RNTI 1234 (1) PH 0 dB PCMAX 0 dBm, average RSRP -44 (12 meas)|UE 1234: UL-RI 1, TPMI 0|UE 1234: dlsch_rounds 297/287/273/261, dlsch_errors 255, pucch0_DTX 1077, BLER 0.00000 MCS 9|UE 1234: dlsch_total_bytes 351945|UE 1234: ulsch_rounds 280/280/279/279, ulsch_DTX 1118, ulsch_errors 279, BLER 0.00000 MCS 9|UE 1234: ulsch_total_bytes_scheduled 322840, ulsch_total_bytes_received 0|UE 1234: LCID 4: 156 bytes TX||
9,9,UE RNTI 1234 (1) PH 0 dB PCMAX 0 dBm, average RSRP -44 (4 meas)|UE 1234: UL-RI 1, TPMI 0|UE 1234: dlsch_rounds 312/303/288/275, dlsch_errors 267, pucch0_DTX 1133, BLER 0.00000 MCS 9|UE 1234: dlsch_total_bytes 369720|UE 1234: ulsch_rounds 295/295/294/294, ulsch_DTX 1177, ulsch_errors 294, BLER 0.00000 MCS 9|UE 1234: ulsch_total_bytes_scheduled 340135, ulsch_total_bytes_received 0|UE 1234: LCID 4: 156 bytes TX|||
10,10,UE RNTI 1234 (1) PH 0 dB PCMAX 0 dBm, average RSRP -44 (11 meas)|UE 1234: UL-RI 1, TPMI 0|UE 1234: dlsch_rounds 328/318/303/289, dlsch_errors 281, pucch0_DTX 1192, BLER 0.00000 MCS 9|UE 1234: dlsch_total_bytes 388680|UE 1234: ulsch_rounds 310/310/309/309, ulsch_DTX 1237, ulsch_errors 309, BLER 0.00000 MCS 9|UE 1234: ulsch_total_bytes_scheduled 357430, ulsch_total_bytes_received 0|UE 1234: LCID 4: 156 bytes TX||
11,11,UE RNTI 1234 (1) PH 0 dB PCMAX 0 dBm, average RSRP -44 (3 meas)|UE 1234: UL-RI 1, TPMI 0|UE 1234: dlsch_rounds 344/335/319/302, dlsch_errors 293, pucch0_DTX 1249, BLER 0.00000 MCS 9|UE 1234: dlsch_total_bytes 407640|UE 1234: ulsch_rounds 325/325/325/325, ulsch_DTX 1299, ulsch_errors 324, BLER 0.00000 MCS 9|UE 1234: ulsch_total_bytes_scheduled 374725, ulsch_total_bytes_received 0|UE 1234: LCID 4: 156 bytes TX|||
12,12,UE RNTI 1234 (1) PH 0 dB PCMAX 0 dBm, average RSRP -44 (10 meas)|UE 1234: UL-RI 1, TPMI 0|UE 1234: dlsch_rounds 359/349/331/315, dlsch_errors 306, pucch0_DTX 1301, BLER 0.00000 MCS 9|UE 1234: dlsch_total_bytes 425415|UE 1234: ulsch_rounds 339/339/338/338, ulsch_DTX 1353, ulsch_errors 338, BLER 0.00000 MCS 9|UE 1234: ulsch_total_bytes_scheduled 390867, ulsch_total_bytes_received 0|UE 1234: LCID 4: 156 bytes TX||
13,13,UE RNTI 1234 (1) PH 0 dB PCMAX 0 dBm, average RSRP -44 (1 meas)|UE 1234: UL-RI 1, TPMI 0|UE 1234: dlsch_rounds 375/363/345/329, dlsch_errors 319, pucch0_DTX 1357, BLER 0.00000 MCS 9|UE 1234: dlsch_total_bytes 444375|UE 1234: ulsch_rounds 353/353/353/353, ulsch_DTX 1412, ulsch_errors 353, BLER 0.00000 MCS 9|UE 1234: ulsch_total_bytes_scheduled 407009, ulsch_total_bytes_received 0|UE 1234: LCID 4: 156 bytes TX|||
14,14,UE RNTI 1234 (1) PH 0 dB PCMAX 0 dBm, average RSRP -44 (9 meas)|UE 1234: UL-RI 1, TPMI 0|UE 1234: dlsch_rounds 391/378/360/344, dlsch_errors 334, pucch0_DTX 1417, BLER 0.00000 MCS 9|UE 1234: dlsch_total_bytes 463335|UE 1234: ulsch_rounds 369/368/368/368, ulsch_DTX 1473, ulsch_errors 368, BLER 0.00000 MCS 9|UE 1234: ulsch_total_bytes_scheduled 425457, ulsch_total_bytes_received 0|UE 1234: LCID 4: 156 bytes TX|||
15,15,UE RNTI 1234 (1) PH 0 dB PCMAX 0 dBm, average RSRP 0 (0 meas)|UE 1234: UL-RI 1, TPMI 0|UE 1234: dlsch_rounds 409/395/374/358, dlsch_errors 348, pucch0_DTX 1475, BLER 0.00000 MCS 9|UE 1234: dlsch_total_bytes 484665|UE 1234: ulsch_rounds 384/384/384/384, ulsch_DTX 1535, ulsch_errors 383, BLER 0.00000 MCS 9|UE 1234: ulsch_total_bytes_scheduled 442752, ulsch_total_bytes_received 0|UE 1234: LCID 4: 208 bytes TX|||||
16,16,UE RNTI 1234 (1) PH 0 dB PCMAX 0 dBm, average RSRP -44 (8 meas)|UE 1234: UL-RI 1, TPMI 0|UE 1234: dlsch_rounds 425/410/390/371, dlsch_errors 360, pucch0_DTX 1532, BLER 0.00000 MCS 9|UE 1234: dlsch_total_bytes 503625|UE 1234: ulsch_rounds 399/399/399/399, ulsch_DTX 1595, ulsch_errors 398, BLER 0.00000 MCS 9|UE 1234: ulsch_total_bytes_scheduled 460047, ulsch_total_bytes_received 0|UE 1234: LCID 4: 208 bytes TX|||
17,17,UE RNTI 1234 (1) PH 0 dB PCMAX 0 dBm, average RSRP -44 (14 meas)|UE 1234: UL-RI 1, TPMI 0|UE 1234: dlsch_rounds 439/423/402/383, dlsch_errors 372, pucch0_DTX 1580, BLER 0.00000 MCS 9|UE 1234: dlsch_total_bytes 520215|UE 1234: ulsch_rounds 412/412/412/411, ulsch_DTX 1646, ulsch_errors 411, BLER 0.00000 MCS 9|UE 1234: ulsch_total_bytes_scheduled 475036, ulsch_total_bytes_received 0|UE 1234: LCID 4: 208 bytes TX||
18,18,UE RNTI 1234 (1) PH 0 dB PCMAX 0 dBm, average RSRP -44 (6 meas)|UE 1234: UL-RI 1, TPMI 0|UE 1234: dlsch_rounds 456/438/418/396, dlsch_errors 384, pucch0_DTX 1636, BLER 0.00000 MCS 9|UE 1234: dlsch_total_bytes 540360|UE 1234: ulsch_rounds 427/427/427/427, ulsch_DTX 1707, ulsch_errors 426, BLER 0.00000 MCS 9|UE 1234: ulsch_total_bytes_scheduled 492331, ulsch_total_bytes_received 0|UE 1234: LCID 4: 208 bytes TX|||
19,19,UE RNTI 1234 (1) PH 0 dB PCMAX 0 dBm, average RSRP -44 (14 meas)|UE 1234: UL-RI 1, TPMI 0|UE 1234: dlsch_rounds 472/454/434/410, dlsch_errors 399, pucch0_DTX 1697, BLER 0.00000 MCS 9|UE 1234: dlsch_total_bytes 559320|UE 1234: ulsch_rounds 443/443/442/442, ulsch_DTX 1769, ulsch_errors 442, BLER 0.00000 MCS 9|UE 1234: ulsch_total_bytes_scheduled 510779, ulsch_total_bytes_received 0|UE 1234: LCID 4: 208 bytes TX||
20,20,UE RNTI 1234 (1) PH 0 dB PCMAX 0 dBm, average RSRP -44 (6 meas)|UE 1234: UL-RI 1, TPMI 0|UE 1234: dlsch_rounds 488/469/449/426, dlsch_errors 413, pucch0_DTX 1758, BLER 0.00000 MCS 9|UE 1234: dlsch_total_bytes 578280|UE 1234: ulsch_rounds 458/458/458/458, ulsch_DTX 1832, ulsch_errors 458, BLER 0.00000 MCS 9|UE 1234: ulsch_total_bytes_scheduled 528074, ulsch_total_bytes_received 0|UE 1234: LCID 4: 208 bytes TX|||
21,21,UE RNTI 1234 (1) PH 0 dB PCMAX 0 dBm, average RSRP -44 (13 meas)|UE 1234: UL-RI 1, TPMI 0|UE 1234: dlsch_rounds 503/484/464/439, dlsch_errors 426, pucch0_DTX 1813, BLER 0.00000 MCS 9|UE 1234: dlsch_total_bytes 596055|UE 1234: ulsch_rounds 473/473/472/472, ulsch_DTX 1889, ulsch_errors 472, BLER 0.00000 MCS 9|UE 1234: ulsch_total_bytes_scheduled 545369, ulsch_total_bytes_received 0|UE 1234: LCID 4: 208 bytes TX||
22,22,UE RNTI 1234 (1) PH 0 dB PCMAX 0 dBm, average RSRP -44 (5 meas)|UE 1234: UL-RI 1, TPMI 0|UE 1234: dlsch_rounds 520/499/479/455, dlsch_errors 442, pucch0_DTX 1875, BLER 0.00000 MCS 9|UE 1234: dlsch_total_bytes 616200|UE 1234: ulsch_rounds 488/488/488/488, ulsch_DTX 1952, ulsch_errors 488, BLER 0.00000 MCS 9|UE 1234: ulsch_total_bytes_scheduled 562664, ulsch_total_bytes_received 0|UE 1234: LCID 4: 208 bytes TX|||
23,23,UE RNTI 1234 (1) PH 0 dB PCMAX 0 dBm, average RSRP -44 (12 meas)|UE 1234: UL-RI 1, TPMI 0|UE 1234: dlsch_rounds 535/515/495/470, dlsch_errors 457, pucch0_DTX 1937, BLER 0.00000 MCS 9|UE 1234: dlsch_total_bytes 633975|UE 1234: ulsch_rounds 504/504/504/503, ulsch_DTX 2014, ulsch_errors 503, BLER 0.00000 MCS 9|UE 1234: ulsch_total_bytes_scheduled 581112, ulsch_total_bytes_received 0|UE 1234: LCID 4: 208 bytes TX||
24,24,UE RNTI 1234 (1) PH 0 dB PCMAX 0 dBm, average RSRP -44 (4 meas)|UE 1234: UL-RI 1, TPMI 0|UE 1234: dlsch_rounds 550/529/509/485, dlsch_errors 472, pucch0_DTX 1995, BLER 0.00000 MCS 9|UE 1234: dlsch_total_bytes 651750|UE 1234: ulsch_rounds 519/518/518/518, ulsch_DTX 2072, ulsch_errors 518, BLER 0.00000 MCS 9|UE 1234: ulsch_total_bytes_scheduled 598407, ulsch_total_bytes_received 0|UE 1234: LCID 4: 208 bytes TX|||
25,25,UE RNTI 1234 (1) PH 0 dB PCMAX 0 dBm, average RSRP -44 (11 meas)|UE 1234: UL-RI 1, TPMI 0|UE 1234: dlsch_rounds 564/544/523/499, dlsch_errors 485, pucch0_DTX 2051, BLER 0.00000 MCS 9|UE 1234: dlsch_total_bytes 668340|UE 1234: ulsch_rounds 533/533/532/532, ulsch_DTX 2129, ulsch_errors 532, BLER 0.00000 MCS 9|UE 1234: ulsch_total_bytes_scheduled 614549, ulsch_total_bytes_received 0|UE 1234: LCID 4: 208 bytes TX||
26,26,UE RNTI 1234 (1) PH 0 dB PCMAX 0 dBm, average RSRP -44 (3 meas)|UE 1234: UL-RI 1, TPMI 0|UE 1234: dlsch_rounds 582/559/538/513, dlsch_errors 500, pucch0_DTX 2111, BLER 0.00000 MCS 9|UE 1234: dlsch_total_bytes 689670|UE 1234: ulsch_rounds 548/548/548/548, ulsch_DTX 2192, ulsch_errors 548, BLER 0.00000 MCS 9|UE 1234: ulsch_total_bytes_scheduled 631844, ulsch_total_bytes_received 0|UE 1234: LCID 4: 208 bytes TX|||
27,27,UE RNTI 1234 (1) PH 0 dB PCMAX 0 dBm, average RSRP -44 (10 meas)|UE 1234: UL-RI 1, TPMI 0|UE 1234: dlsch_rounds 598/575/553/529, dlsch_errors 514, pucch0_DTX 2171, BLER 0.00000 MCS 9|UE 1234: dlsch_total_bytes 708630|UE 1234: ulsch_rounds 564/564/564/563, ulsch_DTX 2254, ulsch_errors 563, BLER 0.00000 MCS 9|UE 1234: ulsch_total_bytes_scheduled 650292, ulsch_total_bytes_received 0|UE 1234: LCID 4: 208 bytes TX||
28,28,UE RNTI 1234 (1) PH 0 dB PCMAX 0 dBm, average RSRP -44 (2 meas)|UE 1234: UL-RI 1, TPMI 0|UE 1234: dlsch_rounds 616/590/568/544, dlsch_errors 528, pucch0_DTX 2230, BLER 0.00000 MCS 9|UE 1234: dlsch_total_bytes 729960|UE 1234: ulsch_rounds 580/579/579/579, ulsch_DTX 2317, ulsch_errors 579, BLER 0.00000 MCS 9|UE 1234: ulsch_total_bytes_scheduled 668740, ulsch_total_bytes_received 0|UE 1234: LCID 4: 208 bytes TX|||
29,29,UE RNTI 1234 (1) PH 0 dB PCMAX 0 dBm, average RSRP -44 (9 meas)|UE 1234: UL-RI 1, TPMI 0|UE 1234: dlsch_rounds 631/605/582/557, dlsch_errors 541, pucch0_DTX 2286, BLER 0.00000 MCS 9|UE 1234: dlsch_total_bytes 747735|UE 1234: ulsch_rounds 594/594/594/593, ulsch_DTX 2374, ulsch_errors 593, BLER 0.00000 MCS 9|UE 1234: ulsch_total_bytes_scheduled 684882, ulsch_total_bytes_received 0|UE 1234: LCID 4: 208 bytes TX|||
30,30,UE RNTI 1234 (1) PH 0 dB PCMAX 0 dBm, average RSRP -44 (1 meas)|UE 1234: UL-RI 1, TPMI 0|UE 1234: dlsch_rounds 648/621/596/572, dlsch_errors 555, pucch0_DTX 2344, BLER 0.00000 MCS 9|UE 1234: dlsch_total_bytes 767880|UE 1234: ulsch_rounds 610/609/609/609, ulsch_DTX 2436, ulsch_errors 609, BLER 0.00000 MCS 9|UE 1234: ulsch_total_bytes_scheduled 703330, ulsch_total_bytes_received 0|UE 1234: LCID 4: 208 bytes TX|||
31,31,UE RNTI 1234 (1) PH 0 dB PCMAX 0 dBm, average RSRP -44 (9 meas)|UE 1234: UL-RI 1, TPMI 0|UE 1234: dlsch_rounds 665/637/611/586, dlsch_errors 569, pucch0_DTX 2403, BLER 0.00000 MCS 9|UE 1234: dlsch_total_bytes 788025|UE 1234: ulsch_rounds 625/625/625/624, ulsch_DTX 2498, ulsch_errors 624, BLER 0.00000 MCS 9|UE 1234: ulsch_total_bytes_scheduled 720625, ulsch_total_bytes_received 0|UE 1234: LCID 4: 208 bytes TX|||
32,32,UE RNTI 1234 (1) PH 0 dB PCMAX 0 dBm, average RSRP -44 (1 meas)|UE 1234: UL-RI 1, TPMI 0|UE 1234: dlsch_rounds 681/653/626/601, dlsch_errors 582, pucch0_DTX 2463, BLER 0.00000 MCS 9|UE 1234: dlsch_total_bytes 806985|UE 1234: ulsch_rounds 641/640/640/640, ulsch_DTX 2560, ulsch_errors 640, BLER 0.00000 MCS 9|UE 1234: ulsch_total_bytes_scheduled 739073, ulsch_total_bytes_received 0|UE 1234: LCID 4: 208 bytes TX|||
33,33,UE RNTI 1234 (1) PH 0 dB PCMAX 0 dBm, average RSRP -44 (8 meas)|UE 1234: UL-RI 1, TPMI 0|UE 1234: dlsch_rounds 697/669/642/616, dlsch_errors 596, pucch0_DTX 2523, BLER 0.00000 MCS 9|UE 1234: dlsch_total_bytes 825945|UE 1234: ulsch_rounds 656/656/656/656, ulsch_DTX 2623, ulsch_errors 655, BLER 0.00000 MCS 9|UE 1234: ulsch_total_bytes_scheduled 756368, ulsch_total_bytes_received 0|UE 1234: LCID 4: 208 bytes TX|||
34,34,UE RNTI 1234 (1) PH 0 dB PCMAX 0 dBm, average RSRP -44 (16 meas)|UE 1234: UL-RI 1, TPMI 0|UE 1234: dlsch_rounds 714/686/657/629, dlsch_errors 610, pucch0_DTX 2582, BLER 0.00000 MCS 9|UE 1234: dlsch_total_bytes 846090|UE 1234: ulsch_rounds 672/672/671/671, ulsch_DTX 2685, ulsch_errors 671, BLER 0.00000 MCS 9|UE 1234: ulsch_total_bytes_scheduled 774816, ulsch_total_bytes_received 0|UE 1234: LCID 4: 208 bytes TX||
35,35,UE RNTI 1234 (1) PH 0 dB PCMAX 0 dBm, average RSRP -44 (8 meas)|UE 1234: UL-RI 1, TPMI 0|UE 1234: dlsch_rounds 732/701/671/644, dlsch_errors 623, pucch0_DTX 2640, BLER 0.00000 MCS 9|UE 1234: dlsch_total_bytes 867420|UE 1234: ulsch_rounds 687/687/687/687, ulsch_DTX 2747, ulsch_errors 686, BLER 0.00000 MCS 9|UE 1234: ulsch_total_bytes_scheduled 792111, ulsch_total_bytes_received 0|UE 1234: LCID 4: 208 bytes TX|||
36,36,UE RNTI 1234 (1) PH 0 dB PCMAX 0 dBm, average RSRP -44 (16 meas)|UE 1234: UL-RI 1, TPMI 0|UE 1234: dlsch_rounds 747/717/687/659, dlsch_errors 637, pucch0_DTX 2701, BLER 0.00000 MCS 9|UE 1234: dlsch_total_bytes 885195|UE 1234: ulsch_rounds 703/703/702/702, ulsch_DTX 2810, ulsch_errors 702, BLER 0.00000 MCS 9|UE 1234: ulsch_total_bytes_scheduled 810559, ulsch_total_bytes_received 0|UE 1234: LCID 4: 208 bytes TX||
