sample_id,elapsed_s,raw_stats
0,0,UE RNTI 1234 (1) PH 0 dB PCMAX 0 dBm, average RSRP -45 (4 meas)|UE 1234: UL-RI 1, TPMI 0|UE 1234: dlsch_rounds 82/82/62/58, dlsch_errors 58, pucch0_DTX 243, BLER 0.00000 MCS 9|UE 1234: dlsch_total_bytes 97170|UE 1234: ulsch_rounds 77/77/65/65, ulsch_DTX 233, ulsch_errors 64, BLER 0.00000 MCS 9|UE 1234: ulsch_total_bytes_scheduled 88781, ulsch_total_bytes_received 14989|UE 1234: LCID 4: 104 bytes TX|UE 1234: LCID 4: 104 bytes RX||
1,1,UE RNTI 1234 (1) PH 0 dB PCMAX 0 dBm, average RSRP -45 (5 meas)|UE 1234: UL-RI 1, TPMI 0|UE 1234: dlsch_rounds 88/87/63/58, dlsch_errors 58, pucch0_DTX 245, BLER 0.00000 MCS 9|UE 1234: dlsch_total_bytes 104280|UE 1234: ulsch_rounds 82/82/66/66, ulsch_DTX 233, ulsch_errors 65, BLER 0.00000 MCS 9|UE 1234: ulsch_total_bytes_scheduled 94546, ulsch_total_bytes_received 18448|UE 1234: LCID 4: 156 bytes TX|UE 1234: LCID 4: 104 bytes RX||
2,2,UE RNTI 1234 (1) PH 0 dB PCMAX 0 dBm, average RSRP -44 (7 meas)|UE 1234: UL-RI 1, TPMI 0|UE 1234: dlsch_rounds 94/94/63/58, dlsch_errors 58, pucch0_DTX 246, BLER 0.00000 MCS 9|UE 1234: dlsch_total_bytes 111390|UE 1234: ulsch_rounds 86/86/68/68, ulsch_DTX 233, ulsch_errors 67, BLER 0.00000 MCS 9|UE 1234: ulsch_total_bytes_scheduled 99158, ulsch_total_bytes_received 21907|UE 1234: LCID 4: 156 bytes TX|UE 1234: LCID 4: 104 bytes RX||
3,3,UE RNTI 1234 (1) PH 0 dB PCMAX 0 dBm, average RSRP -44 (9 meas)|UE 1234: UL-RI 1, TPMI 0|UE 1234: dlsch_rounds 100/100/63/58, dlsch_errors 58, pucch0_DTX 246, BLER 0.00000 MCS 9|UE 1234: dlsch_total_bytes 118500|UE 1234: ulsch_rounds 91/91/70/69, ulsch_DTX 233, ulsch_errors 68, BLER 0.00000 MCS 9|UE 1234: ulsch_total_bytes_scheduled 104923, ulsch_total_bytes_received 25366|UE 1234: LCID 4: 156 bytes TX|UE 1234: LCID 4: 104 bytes RX||
4,4,UE RNTI 1234 (1) PH 0 dB PCMAX 0 dBm, average RSRP -44 (10 meas)|UE 1234: UL-RI 1, TPMI 0|UE 1234: dlsch_rounds 106/105/64/58, dlsch_errors 58, pucch0_DTX 247, BLER 0.00000 MCS 9|UE 1234: dlsch_total_bytes 125610|UE 1234: ulsch_rounds 96/95/71/71, ulsch_DTX 233, ulsch_errors 70, BLER 0.00000 MCS 9|UE 1234: ulsch_total_bytes_scheduled 110688, ulsch_total_bytes_received 28825|UE 1234: LCID 4: 156 bytes TX|UE 1234: LCID 4: 104 bytes RX||
5,5,UE RNTI 1234 (1) PH 0 dB PCMAX 0 dBm, average RSRP -44 (12 meas)|UE 1234: UL-RI 1, TPMI 0|UE 1234: dlsch_rounds 112/111/65/58, dlsch_errors 58, pucch0_DTX 250, BLER 0.00000 MCS 9|UE 1234: dlsch_total_bytes 132720|UE 1234: ulsch_rounds 100/100/73/73, ulsch_DTX 233, ulsch_errors 71, BLER 0.00000 MCS 9|UE 1234: ulsch_total_bytes_scheduled 115300, ulsch_total_bytes_received 32284|UE 1234: LCID 4: 156 bytes TX|UE 1234: LCID 4: 104 bytes RX||
6,6,UE RNTI 1234 (1) PH 0 dB PCMAX 0 dBm, average RSRP -44 (13 meas)|UE 1234: UL-RI 1, TPMI 0|UE 1234: dlsch_rounds 116/116/67/59, dlsch_errors 58, pucch0_DTX 254, BLER 0.00000 MCS 9|UE 1234: dlsch_total_bytes 137460|UE 1234: ulsch_rounds 105/105/74/74, ulsch_DTX 233, ulsch_errors 73, BLER 0.00000 MCS 9|UE 1234: ulsch_total_bytes_scheduled 121065, ulsch_total_bytes_received 36896|UE 1234: LCID 4: 156 bytes TX|UE 1234: LCID 4: 104 bytes RX||
7,7,UE RNTI 1234 (1) PH 0 dB PCMAX 0 dBm, average RSRP -44 (15 meas)|UE 1234: UL-RI 1, TPMI 0|UE 1234: dlsch_rounds 123/122/67/59, dlsch_errors 58, pucch0_DTX 256, BLER 0.00000 MCS 9|UE 1234: dlsch_total_bytes 145755|UE 1234: ulsch_rounds 110/109/76/76, ulsch_DTX 233, ulsch_errors 75, BLER 0.00000 MCS 9|UE 1234: ulsch_total_bytes_scheduled 126830, ulsch_total_bytes_received 39202|UE 1234: LCID 4: 156 bytes TX|UE 1234: LCID 4: 104 bytes RX||
8,8,UE RNTI 1234 (1) PH 0 dB PCMAX 0 dBm, average RSRP -44 (16 meas)|UE 1234: UL-RI 1, TPMI 0|UE 1234: dlsch_rounds 129/128/67/59, dlsch_errors 58, pucch0_DTX 258, BLER 0.00000 MCS 9|UE 1234: dlsch_total_bytes 152865|UE 1234: ulsch_rounds 115/114/77/77, ulsch_DTX 233, ulsch_errors 76, BLER 0.00000 MCS 9|UE 1234: ulsch_total_bytes_scheduled 132595, ulsch_total_bytes_received 43814|UE 1234: LCID 4: 156 bytes TX|UE 1234: LCID 4: 104 bytes RX||
9,9,UE RNTI 1234 (1) PH 0 dB PCMAX 0 dBm, average RSRP -45 (2 meas)|UE 1234: UL-RI 1, TPMI 0|UE 1234: dlsch_rounds 134/134/69/59, dlsch_errors 58, pucch0_DTX 260, BLER 0.00000 MCS 9|UE 1234: dlsch_total_bytes 158790|UE 1234: ulsch_rounds 119/119/79/79, ulsch_DTX 233, ulsch_errors 78, BLER 0.00000 MCS 9|UE 1234: ulsch_total_bytes_scheduled 137207, ulsch_total_bytes_received 46120|UE 1234: LCID 4: 156 bytes TX|UE 1234: LCID 4: 104 bytes RX|||
10,10,UE RNTI 1234 (1) PH 0 dB PCMAX 0 dBm, average RSRP -44 (3 meas)|UE 1234: UL-RI 1, TPMI 0|UE 1234: dlsch_rounds 140/139/70/59, dlsch_errors 58, pucch0_DTX 262, BLER 0.00000 MCS 9|UE 1234: dlsch_total_bytes 165900|UE 1234: ulsch_rounds 124/124/80/80, ulsch_DTX 233, ulsch_errors 79, BLER 0.00000 MCS 9|UE 1234: ulsch_total_bytes_scheduled 142972, ulsch_total_bytes_received 50732|UE 1234: LCID 4: 156 bytes TX|UE 1234: LCID 4: 104 bytes RX|||
11,11,UE RNTI 1234 (1) PH 0 dB PCMAX 0 dBm, average RSRP -44 (7 meas)|UE 1234: UL-RI 1, TPMI 0|UE 1234: dlsch_rounds 152/149/73/59, dlsch_errors 58, pucch0_DTX 267, BLER 0.00000 MCS 9|UE 1234: dlsch_total_bytes 180120|UE 1234: ulsch_rounds 133/133/84/83, ulsch_DTX 233, ulsch_errors 82, BLER 0.00000 MCS 9|UE 1234: ulsch_total_bytes_scheduled 153349, ulsch_total_bytes_received 57650|UE 1234: LCID 4: 156 bytes TX|UE 1234: LCID 4: 104 bytes RX|||
12,12,UE RNTI 1234 (1) PH 0 dB PCMAX 0 dBm, average RSRP -44 (8 meas)|UE 1234: UL-RI 1, TPMI 0|UE 1234: dlsch_rounds 157/155/74/59, dlsch_errors 58, pucch0_DTX 271, BLER 0.00000 MCS 9|UE 1234: dlsch_total_bytes 186045|UE 1234: ulsch_rounds 138/137/85/85, ulsch_DTX 233, ulsch_errors 84, BLER 0.00000 MCS 9|UE 1234: ulsch_total_bytes_scheduled 159114, ulsch_total_bytes_received 61109|UE 1234: LCID 4: 156 bytes TX|UE 1234: LCID 4: 104 bytes RX|||
