sample_id,elapsed_s,raw_stats
0,0,UE RNTI 1234 (1) PH 0 dB PCMAX 0 dBm, average RSRP -44 (11 meas)|UE 1234: UL-RI 1, TPMI 0|UE 1234: dlsch_rounds 419/60/60/59, dlsch_errors 59, pucch0_DTX 237, BLER 0.00000 MCS 9|UE 1234: dlsch_total_bytes 496515|UE 1234: ulsch_rounds 297/105/105/91, ulsch_DTX 237, ulsch_errors 71, BLER 0.00000 MCS 9|UE 1234: ulsch_total_bytes_scheduled 338121, ulsch_total_bytes_received 260578|UE 1234: LCID 4: 104 bytes TX|UE 1234: LCID 4: 104 bytes RX||
1,1,UE RNTI 1234 (1) PH 0 dB PCMAX 0 dBm, average RSRP -44 (4 meas)|UE 1234: UL-RI 1, TPMI 0|UE 1234: dlsch_rounds 491/60/60/59, dlsch_errors 59, pucch0_DTX 237, BLER 0.00000 MCS 9|UE 1234: dlsch_total_bytes 581835|UE 1234: ulsch_rounds 346/114/114/96, ulsch_DTX 237, ulsch_errors 72, BLER 0.00000 MCS 9|UE 1234: ulsch_total_bytes_scheduled 393754, ulsch_total_bytes_received 314769|UE 1234: LCID 4: 104 bytes TX|UE 1234: LCID 4: 104 bytes RX|||
2,2,UE RNTI 1234 (1) PH 0 dB PCMAX 0 dBm, average RSRP -44 (12 meas)|UE 1234: UL-RI 1, TPMI 0|UE 1234: dlsch_rounds 550/60/60/59, dlsch_errors 59, pucch0_DTX 237, BLER 0.00000 MCS 9|UE 1234: dlsch_total_bytes 651750|UE 1234: ulsch_rounds 386/122/121/100, ulsch_DTX 237, ulsch_errors 73, BLER 0.00000 MCS 9|UE 1234: ulsch_total_bytes_scheduled 439106, ulsch_total_bytes_received 359736|UE 1234: LCID 4: 156 bytes TX|UE 1234: LCID 4: 104 bytes RX||
3,3,UE RNTI 1234 (1) PH 0 dB PCMAX 0 dBm, average RSRP -44 (3 meas)|UE 1234: UL-RI 1, TPMI 0|UE 1234: dlsch_rounds 605/60/60/59, dlsch_errors 59, pucch0_DTX 237, BLER 0.00000 MCS 9|UE 1234: dlsch_total_bytes 716925|UE 1234: ulsch_rounds 423/128/128/105, ulsch_DTX 237, ulsch_errors 74, BLER 0.00000 MCS 9|UE 1234: ulsch_total_bytes_scheduled 481095, ulsch_total_bytes_received 401244|UE 1234: LCID 4: 156 bytes TX|UE 1234: LCID 4: 104 bytes RX|||
4,4,UE RNTI 1234 (1) PH 0 dB PCMAX 0 dBm, average RSRP -44 (9 meas)|UE 1234: UL-RI 1, TPMI 0|UE 1234: dlsch_rounds 655/60/60/59, dlsch_errors 59, pucch0_DTX 237, BLER 0.00000 MCS 9|UE 1234: dlsch_total_bytes 776175|UE 1234: ulsch_rounds 454/135/135/110, ulsch_DTX 237, ulsch_errors 74, BLER 0.00000 MCS 9|UE 1234: ulsch_total_bytes_scheduled 516262, ulsch_total_bytes_received 436987|UE 1234: LCID 4: 156 bytes TX|UE 1234: LCID 4: 104 bytes RX|||
5,5,UE RNTI 1234 (1) PH 0 dB PCMAX 0 dBm, average RSRP -44 (16 meas)|UE 1234: UL-RI 1, TPMI 0|UE 1234: dlsch_rounds 712/60/60/59, dlsch_errors 59, pucch0_DTX 237, BLER 0.00000 MCS 9|UE 1234: dlsch_total_bytes 843720|UE 1234: ulsch_rounds 492/142/142/115, ulsch_DTX 237, ulsch_errors 74, BLER 0.00000 MCS 9|UE 1234: ulsch_total_bytes_scheduled 559404, ulsch_total_bytes_received 480801|UE 1234: LCID 4: 156 bytes TX|UE 1234: LCID 4: 104 bytes RX||
6,6,UE RNTI 1234 (1) PH 0 dB PCMAX 0 dBm, average RSRP -44 (8 meas)|UE 1234: UL-RI 1, TPMI 0|UE 1234: dlsch_rounds 774/60/60/59, dlsch_errors 59, pucch0_DTX 237, BLER 0.00000 MCS 9|UE 1234: dlsch_total_bytes 917190|UE 1234: ulsch_rounds 534/150/149/120, ulsch_DTX 237, ulsch_errors 75, BLER 0.00000 MCS 9|UE 1234: ulsch_total_bytes_scheduled 607062, ulsch_total_bytes_received 528074|UE 1234: LCID 4: 156 bytes TX|UE 1234: LCID 4: 104 bytes RX|||
7,7,UE RNTI 1234 (1) PH 0 dB PCMAX 0 dBm, average RSRP -44 (15 meas)|UE 1234: UL-RI 1, TPMI 0|UE 1234: dlsch_rounds 835/60/60/59, dlsch_errors 59, pucch0_DTX 237, BLER 0.00000 MCS 9|UE 1234: dlsch_total_bytes 989475|UE 1234: ulsch_rounds 577/157/157/123, ulsch_DTX 237, ulsch_errors 77, BLER 0.00000 MCS 9|UE 1234: ulsch_total_bytes_scheduled 655969, ulsch_total_bytes_received 576500|UE 1234: LCID 4: 156 bytes TX|UE 1234: LCID 4: 104 bytes RX||
8,8,UE RNTI 1234 (1) PH 0 dB PCMAX 0 dBm, average RSRP -44 (15 meas)|UE 1234: UL-RI 1, TPMI 0|UE 1234: dlsch_rounds 959/60/60/59, dlsch_errors 59, pucch0_DTX 237, BLER 0.00000 MCS 9|UE 1234: dlsch_total_bytes 1136415|UE 1234: ulsch_rounds 661/173/173/131, ulsch_DTX 237, ulsch_errors 82, BLER 0.00000 MCS 9|UE 1234: ulsch_total_bytes_scheduled 751285, ulsch_total_bytes_received 666434|UE 1234: LCID 4: 156 bytes TX|UE 1234: LCID 4: 156 bytes RX||
9,9,UE RNTI 1234 (1) PH 0 dB PCMAX 0 dBm, average RSRP -44 (7 meas)|UE 1234: UL-RI 1, TPMI 0|UE 1234: dlsch_rounds 1022/60/60/59, dlsch_errors 59, pucch0_DTX 237, BLER 0.00000 MCS 9|UE 1234: dlsch_total_bytes 1211070|UE 1234: ulsch_rounds 703/181/180/137, ulsch_DTX 237, ulsch_errors 83, BLER 0.00000 MCS 9|UE 1234: ulsch_total_bytes_scheduled 798943, ulsch_total_bytes_received 713707|UE 1234: LCID 4: 156 bytes TX|UE 1234: LCID 4: 156 bytes RX||
10,10,UE RNTI 1234 (1) PH 0 dB PCMAX 0 dBm, average RSRP -44 (14 meas)|UE 1234: UL-RI 1, TPMI 0|UE 1234: dlsch_rounds 1085/60/60/59, dlsch_errors 59, pucch0_DTX 237, BLER 0.00000 MCS 9|UE 1234: dlsch_total_bytes 1285725|UE 1234: ulsch_rounds 746/188/188/142, ulsch_DTX 237, ulsch_errors 84, BLER 0.00000 MCS 9|UE 1234: ulsch_total_bytes_scheduled 847754, ulsch_total_bytes_received 762133|UE 1234: LCID 4: 156 bytes TX|UE 1234: LCID 4: 156 bytes RX||
